name,url,image_url,scientific_name,conservation_status,size,diet,range,habitat,physical_characteristics,fun_fact
Squarespot Anthias,https://www.georgiaaquarium.org/animal/squarespot-anthias/,https://www.georgiaaquarium.org/wp-content/uploads/2018/09/squarespot-anthias-3-250x250.jpg,Pseudanthias pleurotaenia,Least Concern,7.9 inches (20 cm),Zooplankton,Pacific Ocean,Reefs at depth from 33-591 feet (10-180 m),"Comes in a variety of colors, including red, pink, orange, yellow and purple. Males are characterized by a square magenta-colored spot on the side. Females are less colorful than males. Maximum size is about 7.9 inches (20 cm). Bullet-shaped and darts about when feeding or defending territory.",All squarespot anthias begin life as female – some individuals then change sex and become male as adults.
Striped Burrfish,https://www.georgiaaquarium.org/animal/striped-burrfish/,https://www.georgiaaquarium.org/wp-content/uploads/2018/09/striped-burrfish-3-250x250.jpg,Chilomycterus schoepfii,Least Concern,Up to 11 inches (28 cm),Small marine invertebrates,Western Atlantic Ocean,Seagrass beds and reef environments in coastal waters,"Coloration is light tan to yellowish brown with many darker, wavy stripes running up and down along the back and sides. Some individuals also have large dark spots behind the dorsal and pectoral fins. The body is covered in short, sharp spines. Maximum length of about 11 inches (28 cm).",The striped burrfish is sometimes called a pufferfish – it can take in water and inflate its body into a large ball to deter predators!
Tarpon,https://www.georgiaaquarium.org/animal/tarpon/,https://www.georgiaaquarium.org/wp-content/uploads/2018/09/tarpon-5-250x250.jpg,Megalops atlanticus,Vulnerable,Up to 8 feet (2.5 m),"Fish and larger invertebrates, such as shrimp and crabs",Atlantic Ocean,"Coastal waters, bays, estuaries and mangrove-lined lagoons and rivers","Maximum length of more than 8 feet (2.5 m). Maximum weight of 355 lbs. (161 kg). Elongated, laterally compressed body, with a large upturned mouth. Body covered with large scales. The coloration is blue-grey on the back and bright silver on the sides and belly.",The tarpon has an air bladder that helps it live in oxygen-poor water.
Tasselled Wobbegong,https://www.georgiaaquarium.org/animal/tasselled-wobbegong/,https://www.georgiaaquarium.org/wp-content/uploads/2018/09/tasselled-wobbegong-3-250x250.jpg,Eucrossorhinus dasypogon,Least Concern,4.1 feet (1.2 m),Bottom-dwelling fish and invertebrates,Western Pacific Ocean,Ocean floor on the continental shelf and on offshore reefs,The maximum length of 4.1 feet (1.2 m). The head and body are flattened and the pectoral and pelvic fins are broad. Wide mouth; large crescent-shaped spiracle behind each eye. A fringe of branching skin flaps runs continuously from the pectoral fins around the front of the head forming a lace-like beard below the mouth. The back and fins are a brown to beige color with an intricate pattern of light and dark dots and rings. The ventral surface is a whitish-tan.,"The name ""wobbegong"", from the tasselled wobbegong, is Australian aboriginal in origin, but its exact meaning is unknown. It is speculated that it may mean ""living rock."""
Threadfin Shad,https://www.georgiaaquarium.org/animal/threadfin-shad/,https://www.georgiaaquarium.org/wp-content/uploads/2018/09/threadfin-shad-3-250x250.jpg,Dorosoma petenense,Least Concern,4 inches (10 cm),"Plankton, organic debris",North and South America,"Shallow, temperate waters",Coloration is bright silver with a dark spot behind the gill opening and a bluish-black or greenish color on the back. Common length of approximately 4 inches (10 cm); maximum length of 13 inches (33 cm). The body is compressed and rounded with an elongated dorsal ray.,
Tiger Shark,https://www.georgiaaquarium.org/animal/tiger-shark/,https://www.georgiaaquarium.org/wp-content/uploads/2020/09/tiger-shark-3-250x250.jpg,Galeocerdo cuvier,Near Threatened,"16 feet (4.9 m) and more than 1,400 pounds (635 kg)","Bony fishes, sharks, rays, marine mammals and reptiles, invertebrates and sea birds",Tropical and temperature ocean environments worldwide,Continental shelves or islands and coral reefs,"Juveniles have tiger-like stripes, which give this species its name. Stripes fade as sharks grow into adulthood but are still visible. Unlike many shark species, the male tiger shark is larger than the female. May grow longer than 16 feet (4.9 m) and weigh more than 1,400 pounds (635 kg). One of the largest carnivores in the ocean. Broad, wedge-shaped head with blunt snout. Coloration is dark gray to bluish or greenish-grey on the dorsal surface. The underside is stark white.",The tiger shark is one of the largest carnivores in the ocean.
Tufted Puffin,https://www.georgiaaquarium.org/animal/tufted-puffin/,https://www.georgiaaquarium.org/wp-content/uploads/2018/09/tufted-puffin-5-250x250.jpg,Fratercula cirrhata,Least Concern,15 inches (38 cm),"Small fish, squid, octopus, crabs, zooplankton and jellies",Northern Pacific Ocean,"Sea coasts, rocky cliffs","Medium to large member of the auk, or alcid, family. The largest of the puffins, about the size of a crow. Size varies based on location. Western Pacific birds tend to be slightly larger than eastern birds. Common length of 15 inches (38 cm). Common wingspan of 15 inches (38 cm). Coloration becomes more decorative starting in the winter in preparation for the breeding season in the spring. The body and top of the head are brownish black, with a white face mask extending around the sides of the head to two long yellow-to-gold tufts of feathers that start above and behind the eye. Bright orange legs and feet. Very large, bright, mostly orange to red bill during mating season, which may have yellow or greenish markings. After the breeding season, they lose their tufts, and the bill fades to a duller orange or reddish-brown. The belly may be spotted with paler brown speckles. Males and females are similar in appearance. Males are larger. Juveniles are similar to adults, except with a grey-brown breast, white belly and brown bill.","The tufted puffin's genus name, Fratercula, means “little brother” in Latin, a reference the black and white coloration of these birds, which resembles the robes of a monk."
Wattled Jacana,https://www.georgiaaquarium.org/animal/wattled-jacana/,https://www.georgiaaquarium.org/wp-content/uploads/2025/06/wattled-jacana1-250x250.jpg,Jacana jacana,Least Concern,15-23 inches (38-58 cm) in length,Primarily insects,Most of South America east of the Andes,Freshwater wetlands with floating vegetation,"Mostly chestnut-brown in color with yellow markings on the wings. The forehead is bright red and red wattles hang on either side of their yellow bill. Legs and toes are very long. Juveniles will have some white plumage that darkens over time. Females can grow to be almost double the size of males.Females can grow to 23 inches (58 cm) in length and 9 ounces (255 g) in weight.Males can grow to around 15 inches (38 cm) in length and 4.8 ounces (136 g) in weight. Females can grow to 23 inches (58 cm) in length and 9 ounces (255 g) in weight. Males can grow to around 15 inches (38 cm) in length and 4.8 ounces (136 g) in weight. Toes and claws can cover an area up to 5×8 inches (12×20 cm). Long toes and claws are used to spread weight across large areas, enabling them to walk across lily pads on the water’s surface. Sharp spur on the elbow of each wing for defense.",Jacanas will hunt prey from the surface of floating vegetation like lily pads.
Weedy Sea Dragon,https://www.georgiaaquarium.org/animal/weedy-seadragon/,https://www.georgiaaquarium.org/wp-content/uploads/2018/08/weedy-sea-dragon-2-250x250.jpg,Phyllopteryx taeniolatus,Least Concern,12.6 inches (32 cm),"Small crustaceans, worms and other invertebrates",Australia to Tasmania,Kelp forests,"Coloration is commonly yellow and spotted on most of the body with a series of dark bluish lines along the trunk and a darker olive coloration toward the back. Leaf-like appendages are purple with a dark edge. Very distinctive, long and compressed body with narrow flaps projecting from the body and tail. The body of the female grows deeper than that of the male with age. Color and shape of appendages are based on the sea dragon’s food supply and environment, and also vary with other factors such as depth and geography. Individuals found in deep water habitats tend to be less leafy and brighter in color. Tube-like snout functions like a drinking straw to suck in food. Common length of 12.6 inches (32 cm).",Weedy sea dragons use their tube-like snouts as straws to suck up prey.
Whale Shark,https://www.georgiaaquarium.org/animal/whale-shark/,https://www.georgiaaquarium.org/wp-content/uploads/2018/09/whale-shark-8-575x575.jpg,Rhincodon typus,Endangered,18-32 feet (5.5-9.8 m),Zooplankton,"Tropical Atlantic, Pacific, and Indian Oceans",Typically found offshore,"The whale shark is the largest fish in the world and the largest fish known to have lived on this planet. Because of its size and cartilaginous skeleton, it does not fossilize well and in life it is very difficult to weigh accurately. The largest accurately measured whale shark was 61.7 feet (18.8 m). The average length is between 18 and 32 feet (5.5-9.8 m). Newborns measure 21 to 25 inches (53-64 cm) long. Whale sharks have a broad, flat head, relatively small eyes, five large gill slits, two dorsal fins, two long pectoral fins, two pelvic fins, one anal fin and a large sweeping tail. It has a vestigial spiracle behind the eye, which is an evolutionary remnant of its common ancestry with bottom-dwelling (benthic) carpet sharks. Unlike most shark species, its mouth is located at the front of the head (terminal) instead of the underside of the rostrum (subterminal). The whale shark has a huge mouth, which can reach up to 4 feet (1.2 m) across, located at the front of the head. Inside the mouth are specialized flaps called velums. These stop the backflow of water as the whale shark closes its mouth, preventing the loss of food. The skin of an adult whale shark can be as thick as 4 inches (10 cm) and has the consistency of strong rubber, which limits possible predators to killer whales, great white sharks, tiger sharks and humans. Whale sharks have a two-toned pattern of light spots on their dark gray back with a white underside. Each whale shark has its own individual spot pattern; like human fingerprints, no two are exactly alike. The teeth of the whale shark are tiny and pointed backward; they are thought to have no function in feeding. There are about 300 rows of tiny teeth along the inner surface of each jaw, just inside the mouth.",The whale shark is the biggest fish in the sea.
Wood Frog,https://www.georgiaaquarium.org/animal/wood-frog/,https://www.georgiaaquarium.org/wp-content/uploads/2021/05/wood-frog-2-250x250.jpg,Lithobates sylvaticus,Least Concern,1.5 to 3 inches (4-8 cm),"Beetles, spiders, moths, slugs and caterpillars",United States and Canada,"Tundras, meadows, forests and wetlands","A small brown frog whose primary shade ranges from dark red-brown to pale tan across the back and limbs. A dark stripe starts at the nose and sweeps back along the face, widening into stark panels behind the eyes. The upper lip is bordered in white. The underside of this species is pale white, tending towards yellow under the hind legs. Sizes range from about 1.5 to 3 inches (4-8 cm). Females are larger than males.",
Yellow Tang,https://www.georgiaaquarium.org/animal/yellow-tang/,https://www.georgiaaquarium.org/wp-content/uploads/2018/09/yellow-tang-3-250x250.jpg,Zebrasoma flavescens,Least Concern,Up to 8 inches (20 cm),Algae,Pacific Ocean,Coral-rich tropical waters,"Maximum length of 8 inches (20 cm). Characterized by a long snout and large dorsal fin. Coloration is a bright yellow, though at night changes to a darker and more subdued yellow with a visible white lateral line.","At night, the yellow tang's bright yellow coloration changes to a darker and more subdued yellow with a visible white lateral line."
Yellow-Bellied Slider,https://www.georgiaaquarium.org/animal/yellowbelly-slider/,https://www.georgiaaquarium.org/wp-content/uploads/2018/09/yellowbelly-slider-3-250x250.jpg,Trachemys scripta scripta,Least Concern,5-8 inches (13-20 cm),Omnivorous,North America,"Rivers, ditches, sloughs, lakes, ponds","Bands of yellow streak the carapace, or shell. Most easily visible when they’re wet. Yellow blotch behind the eye which is more visible in females and young individuals. The lower jaw of a slider is rounded, whereas it is flat for members of other genera. Common carapace length is 5-8 inches (13-20 cm) with a maximum size of 11.4 inches (29 cm).","Yellow-bellied sliders are omnivores, eating a wide variety of plant and animal matter."
Yellowbanded Sweetlips,https://www.georgiaaquarium.org/animal/yellowbanded-sweetlips/,https://www.georgiaaquarium.org/wp-content/uploads/2018/09/yellowbanded-sweetips-3-250x250.jpg,Plectorhinchus lineatus,Not Evaluated,19 inches (48 cm),"Fish, benthic crustaceans, other benthic intvertebrates",Western Pacific,Coral-rich areas of outer reef slopes,Silvery white body with close-set black bands. Median fins are yellow with black spots. The lips are yellow with a red spot at the base of the pectoral fins. Common length of about 19 inches (48 cm).,"The yellowbanded sweetlips is also known as the “diagonal-banded sweetlips,” “Goldman’s sweetlips” or “lined sweetlips.”"
Yellowhead Jawfish,https://www.georgiaaquarium.org/animal/yellowhead-jawfish/,https://www.georgiaaquarium.org/wp-content/uploads/2018/09/yellowhead-jawfish-3-250x250.jpg,Opistognathus aurifrons,Least Concern,Up to 4 inches (10 cm),Zooplankton,Atlantic Ocean,Reefs in clear tropical coastal waters,"Coloration is light bluish-gray with numerous pale blue dots. The head and front part of the body, as well as the anterior part of the dorsal fin is yellow. Elongated body with a blunt head, large protruding eyes and a large mouth. Maximum length of 4 inches (10 cm).",Yellowhead jawfish build burrows that can be up to 1 foot (30 cm) deep.
Zebra Shark,https://www.georgiaaquarium.org/animal/zebra-shark-2/,https://www.georgiaaquarium.org/wp-content/uploads/2018/09/zebra-shark-250x250.jpg,Stegostoma tigrinum,Endangered,12 feet (3.7 m),Benthic invertebrates and small fishes,Indian Ocean and West Pacific,"Coral reefs, usually in areas with sandy seafloor","The maximum length of 12 feet (3.7 m); its long tail may account for about half of the total body length. The body is cylindrical and thick, with prominent ridges along the flanks. The Head is broad and conical with a very rounded snout and fleshy barbels at the corners of the mouth. The upper lobe of the caudal fin is greatly elongated. Spiracles located behind the eyes allow this shark to rest motionless on the bottom and still circulate water over its gills. Coloration of adults is tan with dark spots. Juveniles are dark with yellowish bars, lending to the name, “zebra shark.”","Despite its name, the zebra shark is only striped as a juvenile."
